"노선별(1)",2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 28,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 29,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30,2018. 09. 30
"노선별(1)",1종대수 (대),2종대수 (대),3종대수 (대),4종대수 (대),5종대수 (대),6종대수 (대),1종통행료 (원),2종통행료 (원),3종통행료 (원),4종통행료 (원),5종통행료 (원),6종통행료 (원),1종대수 (대),2종대수 (대),3종대수 (대),4종대수 (대),5종대수 (대),6종대수 (대),1종통행료 (원),2종통행료 (원),3종통행료 (원),4종통행료 (원),5종통행료 (원),6종통행료 (원),1종대수 (대),2종대수 (대),3종대수 (대),4종대수 (대),5종대수 (대),6종대수 (대),1종통행료 (원),2종통행료 (원),3종통행료 (원),4종통행료 (원),5종통행료 (원),6종통행료 (원)
"경부선",1111465,48121,80357,56348,66892,62190,1809805733,81748629,170212057,150945155,200265703,50310760,1094346,28421,58317,32345,41870,54221,1990744119,47382805,132460076,83489233,121429228,48865072,986627,11908,40715,11716,12133,46947,1821923536,19896860,96647398,29355121,37371754,43407276
"남해선",388608,15430,19706,17879,41887,24683,621033732,24525642,36434945,37994169,115712081,18756159,377067,8612,13891,9797,25252,21629,684530032,13546967,26628181,20454937,65399945,18316578,357874,3613,9147,3210,6836,19187,671606714,5856326,19321854,7601491,18150869,16962128
"광주대구선",68566,2756,4210,3157,4397,3222,146164716,5829210,10322167,9386259,12094618,3384826,79931,1848,3310,1678,3199,3499,181990289,3859299,8150257,4971424,8444544,3725133,79570,862,2362,722,625,3368,185193115,1961217,6299392,2271919,1869607,3766864
"고창담양선",63402,2823,3827,4000,6856,3006,67998723,2787528,3852148,4080722,10851339,1761529,70504,1698,2669,2224,4133,2883,80870120,1651616,2645242,2199177,6407151,1798449,68968,746,1890,745,866,2748,81158292,749601,1885618,754673,1340252,1759670
"서해안선",361501,15421,21954,18925,34843,21187,637162171,23797993,47829287,49568218,88787598,16252874,397373,8237,13952,10171,23191,19865,839882513,13163584,34956540,25880397,58207616,18490541,362271,3529,8980,3520,5860,17364,777161734,5873628,25248012,11366265,15363464,17032771
"울산선",55254,2328,3738,3764,9724,3263,32171439,1526503,2648352,2741735,7735608,1029208,56815,1182,2538,1995,5839,3058,34412817,779414,1824305,1396303,4557664,980972,59690,515,1780,625,2099,3086,36159635,345322,1290159,436916,1665742,981711
"평택화성선",8142,451,1215,497,734,432,0,0,0,0,0,0,9015,205,817,262,506,418,0,0,0,0,0,0,7044,87,615,75,212,360,0,0,0,0,0,0
"익산포항선",89974,3604,4963,4046,9763,4242,115524713,4479956,7162587,6439890,19768776,2671982,106753,2352,3866,2210,6201,4542,153137035,3006313,5928991,3420941,11955611,3167723,104322,911,2661,831,2057,4320,155888205,1263373,4333613,1350468,3771853,3148883
"호남선(논산천안선)",287721,11220,25761,20016,27641,12115,312940362,14037195,27085413,27481114,40074747,6630474,333716,6478,20791,10782,16555,12891,384563230,8480771,22074090,15114975,23580957,7316418,307683,2933,16002,4407,5150,11988,355167972,3478487,16308939,6130064,6720409,6723792
"당진영덕선",187321,7250,15870,16097,23229,9136,315865038,13340313,32442306,43931525,71017180,7540927,220643,4004,11824,8498,14333,9495,393166434,7181747,23487926,22515379,41613454,8297390,206222,1900,8541,3135,4118,8719,370435373,3158433,16540506,7811528,12272883,7724026
"옥산오창선",4108,218,380,307,634,251,0,0,0,0,0,0,3352,78,240,148,328,201,0,0,0,0,0,0,3111,35,149,39,95,178,0,0,0,0,0,0
"중부선(통영대전선)",360709,19669,24447,23731,23680,21433,622090035,33737294,53598350,56020391,62951482,16957134,377363,10369,16504,13189,15336,19136,723376394,17920051,39828932,30860241,39633342,17099375,341283,5307,10889,5051,5189,16682,666706102,9614851,29565359,12742094,12324783,15298020
"평택제천선",190120,13464,20588,19451,26770,10838,180598760,13605792,21909090,23719198,47488038,4928322,192153,6004,11547,10137,17420,9680,205616581,5845608,12086020,12566723,33224710,4823114,165994,2331,6202,3237,5025,8322,185619460,2391986,6583121,4104362,9898722,4315823
"중부내륙선",181407,9697,15802,19851,29073,8659,526441730,27609802,53328169,96470824,148803016,13043230,197856,4936,11336,11150,18119,9188,617710064,13546964,40864431,53862371,84812182,14694147,188062,2161,7369,3578,4812,8358,594625111,5996811,28449670,17026483,23684176,13373493
"영동선",470602,23737,30652,25609,26653,30398,720932703,37332965,56999747,52475538,67579132,22306101,478400,13119,21088,15058,17956,26053,843114016,20988516,43007989,31172455,45180321,21540516,422278,6784,14839,5751,4196,22007,764173622,10957656,32088582,12935361,12330323,18819210
"제2영동선",30389,754,1765,897,1089,1275,0,0,0,0,0,0,38276,409,1462,492,987,1522,0,0,0,0,0,0,35634,284,1220,478,166,1390,0,0,0,0,0,0
"중앙선(대구부산선)",378504,16576,19429,18628,34031,20923,335498047,12690867,20266876,18056724,36495954,8687477,404461,9816,14882,10240,22543,20322,414265383,7935059,16423779,9633157,26835947,9792375,376574,4312,9932,4129,5564,17923,402268276,3913567,13515053,6106804,7046102,8930565
"서울양양선",38354,801,1503,889,950,1947,67998723,1128285,2588162,1849077,1826463,1543812,52922,477,1478,497,761,2354,113562296,797972,2873280,1012319,1453168,2288935,43128,297,1272,279,225,1970,88390219,522194,2712643,516355,440369,1926376
"동해선",122407,4089,6931,6448,19131,6966,95051979,2853898,5236513,3698155,17082801,2770944,144276,2251,4975,3527,11883,7295,123025821,1800076,4287117,2478437,11361133,3024664,137717,909,3179,1196,4101,6840,113300190,732756,3109615,913552,3312338,2759904
"서울외곽선",802833,30874,27839,22744,24928,56294,573129790,24218740,21016660,19993800,24389170,24577980,794674,16981,18238,14392,17867,47146,647158420,14546150,15541110,12468750,17172390,20550020,675956,7680,11524,4717,5566,38909,550382510,6628140,9848150,4090850,5241750,16959840
